brand_slug,brand_name,origem,total,verified_inci,catalog_only,kits,non_hair,pct_inci,termo_volume,termo_inci,status_geral,acao
med-for-you-professional,Med For You Professional,outras,5,0,0,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
hair-extrattus,Hair Extrattus,outras,5,0,0,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
lola-cosmetics,Lola Cosmetics,nacional,5,0,0,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
azenka,Azenka,outras,5,0,0,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
barrominas,BarroMinas,outras,4,1,3,0,0,25.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
trevor-sorbie,Trevor Sorbie,outras,3,0,3,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
grankera,Grankéra,outras,2,0,2,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
strattus,Strattus,outras,2,0,2,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
a-line,A-line,outras,2,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
b-urb,B.URB,outras,1,0,1,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
loccitane-us,L'Occitane (US),outras,1,0,1,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
50-megumi,50 Megumi,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
acca-kappa,Acca Kappa,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ache,Ache,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
aesop,Aesop,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
agadir-argan-oil,Agadir Argan Oil,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
ahava,Ahava,outras,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
alfaparf,AlfaParf,internacional,0,0,0,0,0,0.0,🔴 vazio,⚪ N/A,🔴 VAZIA,RE-SCRAPE (marca ausente)
